,Argument ID,Conclusion,Stance,Premise,text,category,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
4678,D02048,Companies should fight moonlighting,against,"As per a study published by the Academy of Management Journal in 2021, moonlighting can provide a sense of control and motivation, which can improve the productivity of employees.","As per a study published by the Academy of Management Journal in 2021, moonlighting can provide a sense of control and motivation, which can improve the productivity of employees. against Companies should fight moonlighting","['Self-direction: action', 'Achievement', 'Power: resources']",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3971,A28453,We should legalize cannabis,in favor of,"legalizing recreational marijuana will add billions to the economy, create hundreds of thousands of jobs, and save limited police resources","legalizing recreational marijuana will add billions to the economy, create hundreds of thousands of jobs, and save limited police resources in favor of We should legalize cannabis","['Power: resources', 'Security: personal', 'Security: societal']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2110,A22183,We should ban algorithmic trading,against,"algorithmic trading is legal, and all traders have access to some sort of computer-aided tools.","algorithmic trading is legal, and all traders have access to some sort of computer-aided tools. against We should ban algorithmic trading","['Achievement', 'Conformity: rules', 'Universalism: objectivity']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3779,A28155,We should ban algorithmic trading,against,"we shouldn't ban algorithmic trading because there is nothing wrong with it. if a person wants to use algorithms to trade instead of making investment decisions based on emotion, we should allow it.","we shouldn't ban algorithmic trading because there is nothing wrong with it. if a person wants to use algorithms to trade instead of making investment decisions based on emotion, we should allow it. against We should ban algorithmic trading",['Self-direction: action'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4239,A29396,We should end mandatory retirement,in favor of,some people are capable of working way beyond the retirement age and should be able to work and increase their retirement funds as long as they ant.,some people are capable of working way beyond the retirement age and should be able to work and increase their retirement funds as long as they ant. in favor of We should end mandatory retirement,"['Self-direction: action', 'Achievement', 'Power: resources']",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
425,A12185,We should ban private military companies,in favor of,private military companies should be banned as they are not subject to military laws,private military companies should be banned as they are not subject to military laws in favor of We should ban private military companies,"['Security: societal', 'Conformity: rules', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
800,A18175,We should end mandatory retirement,in favor of,"someone should be able to continue working if they want, despite their age.","someone should be able to continue working if they want, despite their age. in favor of We should end mandatory retirement","['Self-direction: action', 'Achievement', 'Security: personal', 'Conformity: interpersonal', 'Universalism: concern']",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1425,A20131,We should legalize organ trade,against,legalizing organ trade could result in more criminal murders which is not acceptable.,legalizing organ trade could result in more criminal murders which is not acceptable. against We should legalize organ trade,"['Security: personal', 'Security: societal', 'Benevolence: caring', 'Universalism: concern', 'Universalism: nature']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0
6005,A22256,Intelligence tests bring more harm than good,in favor of,intelligence tests seek to rank people based on an arbitrary test.  it hurts the self esteem of people that probably have proficiency in a different type of intelligence that the test tests.,intelligence tests seek to rank people based on an arbitrary test.  it hurts the self esteem of people that probably have proficiency in a different type of intelligence that the test tests. in favor of Intelligence tests bring more harm than good,"['Self-direction: thought', 'Achievement', 'Humility', 'Universalism: concern', 'Universalism: tolerance']",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2318,A22496,We should abolish capital punishment,against,capital punishment for the most violent crimes is acceptable because it costs thousands of dollars to keep a prisoner incarcerated for life.,capital punishment for the most violent crimes is acceptable because it costs thousands of dollars to keep a prisoner incarcerated for life. against We should abolish capital punishment,"['Power: resources', 'Security: personal', 'Security: societal', 'Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
447,A12224,We should ban factory farming,against,factory farming is necessary in our society as a way to control and protect the environment in which the animals are living so they are not subjected to disease and predators.,factory farming is necessary in our society as a way to control and protect the environment in which the animals are living so they are not subjected to disease and predators. against We should ban factory farming,"['Power: dominance', 'Benevolence: caring', 'Universalism: nature']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5300,E08001,The EU should extend the model of Pooling & Sharing European military resources beyond air transport.,in favor of,"Pooling & Sharing increases the size, availability, the diversity of specific military resources but decreases their global cost at the same time","Pooling & Sharing increases the size, availability, the diversity of specific military resources but decreases their global cost at the same time in favor of The EU should extend the model of Pooling & Sharing European military resources beyond air transport.","['Achievement', 'Power: resources', 'Security: personal']",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6046,A22424,The vow of celibacy should be abandoned,in favor of,the vow of celibacy should be abandoned because it can cause issues in the relationship,the vow of celibacy should be abandoned because it can cause issues in the relationship in favor of The vow of celibacy should be abandoned,"['Stimulation', 'Hedonism', 'Benevolence: caring']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
592,A12440,We should legalize prostitution,in favor of,legalising prostitution can only be beneficial to the sex workers and their clients from a safety and health point of view.,legalising prostitution can only be beneficial to the sex workers and their clients from a safety and health point of view. in favor of We should legalize prostitution,"['Hedonism', 'Power: resources', 'Face', 'Security: personal', 'Security: societal', 'Universalism: concern']",0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1195,A19288,We should abolish the Olympic Games,against,we should not abolish the olympic games because it brings the world together to celebrate sporting greatness.,we should not abolish the olympic games because it brings the world together to celebrate sporting greatness. against We should abolish the Olympic Games,"['Achievement', 'Security: personal', 'Security: societal', 'Tradition', 'Conformity: rules', 'Universalism: concern', 'Universalism: nature']",0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0
4597,D01040,We should strengthen laws to fight against terrorism,in favor of,"To prevent the violation of human rights, four-stage scrutiny is added. Designating individuals as terrorists is not started by India. The US, European Union, and China also have this provision.","To prevent the violation of human rights, four-stage scrutiny is added. Designating individuals as terrorists is not started by India. The US, European Union, and China also have this provision. in favor of We should strengthen laws to fight against terrorism","['Power: dominance', 'Security: societal', 'Benevolence: dependability', 'Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2471,A23229,We should abolish the three-strikes laws,in favor of,"We should abolish the three-strikes laws because they introduce arbitrary punishment for some crimes over others, when the action was the same.","We should abolish the three-strikes laws because they introduce arbitrary punishment for some crimes over others, when the action was the same. in favor of We should abolish the three-strikes laws","['Benevolence: caring', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
131,A06010,We should abolish safe spaces,in favor of,"Safe spaces stifle dialogue about controversial topics, such as race, gender and religion.","Safe spaces stifle dialogue about controversial topics, such as race, gender and religion. in favor of We should abolish safe spaces",['Self-direction: thought'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,A19059,We should adopt a multi-party system,in favor of,multi-party systems provide many new sources of views on relevant topics,multi-party systems provide many new sources of views on relevant topics in favor of We should adopt a multi-party system,"['Self-direction: thought', 'Benevolence: caring', 'Universalism: tolerance', 'Universalism: objectivity']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2718,A24108,We should fight for the abolition of nuclear weapons,against,"The alternative to nuclear weapons are bio-weapons and chemical weapons, which are more likely to be used, more horrific in their outcomes, and more dangerous as they can be spread person to person.","The alternative to nuclear weapons are bio-weapons and chemical weapons, which are more likely to be used, more horrific in their outcomes, and more dangerous as they can be spread person to person. against We should fight for the abolition of nuclear weapons","['Security: societal', 'Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1956,A21442,We should ban cosmetic surgery for minors,in favor of,minors are too young to make these choices,minors are too young to make these choices in favor of We should ban cosmetic surgery for minors,"['Power: dominance', 'Security: personal', 'Conformity: interpersonal', 'Humility', 'Benevolence: caring', 'Benevolence: dependability']",0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0
5190,E07021,The EU should recognize Taiwan as an independent sovereign state,in favor of,China is acting against European values and violating intellectual property rights.,China is acting against European values and violating intellectual property rights. in favor of The EU should recognize Taiwan as an independent sovereign state,"['Tradition', 'Conformity: rules']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6867,D01145,We should abolish the National Register of Citizens (NRC),in favor of,"The present process lacks impartiality, transparency, and equality. Updating or maintaining an NRC with such a huge population, and that too people with less income and low literacy is a very tedious task. And all efforts should be made to minimize injustice to anyone.","The present process lacks impartiality, transparency, and equality. Updating or maintaining an NRC with such a huge population, and that too people with less income and low literacy is a very tedious task. And all efforts should be made to minimize injustice to anyone. in favor of We should abolish the National Register of Citizens (NRC)",['Universalism: concern'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2882,A24362,We should ban the Church of Scientology,in favor of,"we should ban the church of scientology because any church that has ""cult like"" teachings should never be allowed to exist.","we should ban the church of scientology because any church that has ""cult like"" teachings should never be allowed to exist. in favor of We should ban the Church of Scientology","['Self-direction: thought', 'Self-direction: action', 'Face', 'Security: societal', 'Tradition', 'Benevolence: dependability']",1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
4516,A30317,We should ban cosmetic surgery for minors,against,"minors sometimes, unfortunately been involved in car crash and when such a surgery is mandatory, there is no other way.banning surgery for minors, generally will be redicilous.","minors sometimes, unfortunately been involved in car crash and when such a surgery is mandatory, there is no other way.banning surgery for minors, generally will be redicilous. against We should ban cosmetic surgery for minors","['Self-direction: action', 'Security: personal']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1115,A19159,We should ban factory farming,against,we should not ban factory farming because it helps to supply the growing demand for food.,we should not ban factory farming because it helps to supply the growing demand for food. against We should ban factory farming,"['Power: resources', 'Security: personal', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1335,A19498,We should ban the Church of Scientology,against,we have the right to practice different religions and the church of scientology should not be banned.,we have the right to practice different religions and the church of scientology should not be banned. against We should ban the Church of Scientology,"['Self-direction: thought', 'Self-direction: action', 'Tradition', 'Universalism: tolerance']",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5848,A20490,Homeschooling should be banned,in favor of,homeschooling is very difficult to regulate and the education received is not consistent so it should be banned.,homeschooling is very difficult to regulate and the education received is not consistent so it should be banned. in favor of Homeschooling should be banned,"['Achievement', 'Power: dominance', 'Conformity: rules']",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1406,A20104,We should legalize cannabis,in favor of,it has many helpful medicinal qualities such as helping cancer patients keep food down when going through chemotherapy,it has many helpful medicinal qualities such as helping cancer patients keep food down when going through chemotherapy in favor of We should legalize cannabis,"['Security: personal', 'Benevolence: caring', 'Universalism: tolerance']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2716,A24105,We should abolish intellectual property rights,in favor of,we should abolish intellectual property rights as the law is very complex and it is very easy to infringe copyright.,we should abolish intellectual property rights as the law is very complex and it is very easy to infringe copyright. in favor of We should abolish intellectual property rights,"['Self-direction: thought', 'Achievement']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3252,A25423,We should ban private military companies,against,private military companies are more efficient than government run,private military companies are more efficient than government run against We should ban private military companies,"['Achievement', 'Power: dominance', 'Benevolence: dependability', 'Universalism: objectivity']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6318,A25183,Foster care brings more harm than good,in favor of,foster care families don't really take care of the children and instead use them to earn extra income,foster care families don't really take care of the children and instead use them to earn extra income in favor of Foster care brings more harm than good,"['Security: personal', 'Conformity: rules']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6266,A24452,The use of public defenders should be mandatory,in favor of,public defenders should be provided to all charged persons to ensure they receive representation and a fair trial.  all persons deserve qualified representation regardless of their ability to pay.,public defenders should be provided to all charged persons to ensure they receive representation and a fair trial.  all persons deserve qualified representation regardless of their ability to pay. in favor of The use of public defenders should be mandatory,"['Achievement', 'Conformity: rules', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
93,A05054,We should adopt libertarianism,against,"there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows, if everyone pleased themselves no one would help each other.","there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows, if everyone pleased themselves no one would help each other. against We should adopt libertarianism","['Security: societal', 'Conformity: rules', 'Benevolence: caring']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
5819,A20359,Holocaust denial should be a criminal offence,in favor of,the holocaust was a crime against humanity and by making it criminal to deny it happened you would stop it from happening again.,the holocaust was a crime against humanity and by making it criminal to deny it happened you would stop it from happening again. in favor of Holocaust denial should be a criminal offence,"['Security: societal', 'Conformity: rules', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1726,A21092,We should abolish the Olympic Games,in favor of,the olympic games cost vast sums of money to the host country that would be better spent on essential services such as healthcare and education,the olympic games cost vast sums of money to the host country that would be better spent on essential services such as healthcare and education in favor of We should abolish the Olympic Games,"['Achievement', 'Security: personal', 'Benevolence: caring']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3217,A25372,We should abolish the three-strikes laws,against,if a person has been arrested for three crimes they have not learned from their mistakes but see being a criminal as a lifestyle.   let's put those people behind bars and prevent more crimes.,if a person has been arrested for three crimes they have not learned from their mistakes but see being a criminal as a lifestyle.   let's put those people behind bars and prevent more crimes. against We should abolish the three-strikes laws,"['Security: societal', 'Conformity: rules', 'Benevolence: dependability', 'Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
756,A18099,We should abolish intellectual property rights,in favor of,"maintaining intellectual property rights for all is too expensive, and maintaining these rights might restrict innovation in certain sectors.","maintaining intellectual property rights for all is too expensive, and maintaining these rights might restrict innovation in certain sectors. in favor of We should abolish intellectual property rights","['Self-direction: thought', 'Stimulation', 'Achievement', 'Power: resources', 'Security: personal']",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5867,A21097,The use of public defenders should be mandatory,in favor of,the right to representation is especially important for those who sre unable to afford it,the right to representation is especially important for those who sre unable to afford it in favor of The use of public defenders should be mandatory,"['Security: personal', 'Universalism: concern']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1215,A19320,We should ban cosmetic surgery,against,cosmetic surgery helps many people with their self esteem.,cosmetic surgery helps many people with their self esteem. against We should ban cosmetic surgery,"['Face', 'Security: personal']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2764,A24176,We should ban fast food,against,"in moderation, fast food can be a treat or convenient meal for busy people.  we should allow people to enjoy it.","in moderation, fast food can be a treat or convenient meal for busy people.  we should allow people to enjoy it. against We should ban fast food","['Self-direction: action', 'Hedonism', 'Security: personal']",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4643,D01126,Artificial intelligence brings more harm than good,in favor of,"After a daily 10-hour shift from Monday to Friday most of us prefer to stay at home on the holidays. We surround ourselves with laptops, TV, and mobile and use them in cycles for Netflix, sports, social media, etc. (thinking that we are relaxing) rather than going out. We prefer and are more comfortable with online chatting instead of talking to people for real. There are fewer meaningful relationships nowadays because of all the above factors. We have started preferring isolation.","After a daily 10-hour shift from Monday to Friday most of us prefer to stay at home on the holidays. We surround ourselves with laptops, TV, and mobile and use them in cycles for Netflix, sports, social media, etc. (thinking that we are relaxing) rather than going out. We prefer and are more comfortable with online chatting instead of talking to people for real. There are fewer meaningful relationships nowadays because of all the above factors. We have started preferring isolation. in favor of Artificial intelligence brings more harm than good","['Self-direction: action', 'Hedonism', 'Security: personal', 'Benevolence: caring', 'Benevolence: dependability']",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5101,E05118,"We need to move towards drug reform, which will change our outdated drug policy.",in favor of,"This is especially true when we know how much alcohol is damaging the brain, in particular in the developing brain of teenagers. Also unlike cannabis, over-consumption of alcohol leads to death so I would say that this product is much more dangerous. Yet unlike cannabis, alcohol is legal. ","This is especially true when we know how much alcohol is damaging the brain, in particular in the developing brain of teenagers. Also unlike cannabis, over-consumption of alcohol leads to death so I would say that this product is much more dangerous. Yet unlike cannabis, alcohol is legal.  in favor of We need to move towards drug reform, which will change our outdated drug policy.","['Self-direction: action', 'Security: personal', 'Security: societal', 'Benevolence: dependability', 'Universalism: concern', 'Universalism: objectivity']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
3265,A25444,We should ban the use of child actors,against,"with proper safe-guards in place, including responsible parenting and limited working hours, there is no reason why child actors cannot lead a full life whilst having a career.","with proper safe-guards in place, including responsible parenting and limited working hours, there is no reason why child actors cannot lead a full life whilst having a career. against We should ban the use of child actors","['Self-direction: action', 'Achievement', 'Security: personal', 'Benevolence: dependability']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
476,A12265,We should legalize cannabis,in favor of,bannabis should be legalized as it has been proven to have medical benefits that outweigh any negative effects. it will also remove it from the control of criminals and gangsters,bannabis should be legalized as it has been proven to have medical benefits that outweigh any negative effects. it will also remove it from the control of criminals and gangsters in favor of We should legalize cannabis,"['Security: personal', 'Security: societal']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3703,A28036,We should legalize organ trade,against,"legalizing the organ trade would make the organs to expensive to all those on need, making them available to only the wealthiest of patients.","legalizing the organ trade would make the organs to expensive to all those on need, making them available to only the wealthiest of patients. against We should legalize organ trade","['Security: personal', 'Universalism: concern']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2533,A23325,We should oppose collectivism,against,We should support collectivism because it leads to more investment in the community and more growth in the long term.,We should support collectivism because it leads to more investment in the community and more growth in the long term. against We should oppose collectivism,"['Achievement', 'Benevolence: caring']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4325,A30039,We should adopt gender-neutral language,against,"in many cases, the gender of the subject helps convey meaning","in many cases, the gender of the subject helps convey meaning against We should adopt gender-neutral language","['Achievement', 'Power: dominance', 'Benevolence: caring', 'Universalism: objectivity']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6240,A24331,Social media brings more harm than good,in favor of,social media is addictive to young people to the point where it affects their education because they are distracted from their studies.,social media is addictive to young people to the point where it affects their education because they are distracted from their studies. in favor of Social media brings more harm than good,"['Achievement', 'Security: personal', 'Conformity: rules']",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2119,A22196,We should prohibit school prayer,in favor of,school prayer violates the seperation of church and state.,school prayer violates the seperation of church and state. in favor of We should prohibit school prayer,"['Self-direction: thought', 'Self-direction: action', 'Tradition', 'Conformity: rules', 'Universalism: concern']",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
1046,A19058,We should subsidize embryonic stem cell research,against,embryonic stem cell research is immoral.,embryonic stem cell research is immoral. against We should subsidize embryonic stem cell research,"['Tradition', 'Conformity: rules', 'Universalism: nature']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2943,A24450,We should adopt atheism,in favor of,Atheism allows one to really examine why we believe what we do and are you truly a good person or do you just want to go to heaven,Atheism allows one to really examine why we believe what we do and are you truly a good person or do you just want to go to heaven in favor of We should adopt atheism,"['Self-direction: thought', 'Self-direction: action', 'Universalism: objectivity']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1702,A21055,We should adopt a zero-tolerance policy in schools,against,we don't need a zero-tolerance policy that punishes students harshly for small things,we don't need a zero-tolerance policy that punishes students harshly for small things against We should adopt a zero-tolerance policy in schools,"['Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
786,A18150,We should end mandatory retirement,in favor of,"just because someone has reached the age of retirement, they are still able to provide a vaulable service with expertise and a vast knowledge of experience.","just because someone has reached the age of retirement, they are still able to provide a vaulable service with expertise and a vast knowledge of experience. in favor of We should end mandatory retirement","['Achievement', 'Conformity: interpersonal', 'Universalism: concern']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6649,A29049,We should abandon television,in favor of,Television has led to the laziness of people mentally and physically.,Television has led to the laziness of people mentally and physically. in favor of We should abandon television,"['Achievement', 'Security: personal', 'Conformity: rules']",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6814,A30269,Homeschooling should be banned,against,homeschooling is the best way for children to have their specific needs met,homeschooling is the best way for children to have their specific needs met against Homeschooling should be banned,"['Self-direction: action', 'Achievement', 'Security: personal']",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5303,E08004,The EU should integrate the armed forces of its member states,in favor of,"I am in favor of a possible army, but I would like to see it combined with social services and reconstruction. So NGOs and development cooperation must be involved. An army that can fight must also be able to build. We therefore also need a civilian army in Europe. I would also like an army consisting of civilians in uniform, in the same way as the German army. Please also take into account the right to refuse orders due to conscientious objection, also as in the German army.","I am in favor of a possible army, but I would like to see it combined with social services and reconstruction. So NGOs and development cooperation must be involved. An army that can fight must also be able to build. We therefore also need a civilian army in Europe. I would also like an army consisting of civilians in uniform, in the same way as the German army. Please also take into account the right to refuse orders due to conscientious objection, also as in the German army. in favor of The EU should integrate the armed forces of its member states","['Self-direction: thought', 'Achievement', 'Power: dominance', 'Security: personal', 'Security: societal', 'Benevolence: caring']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
351,A12072,We should subsidize space exploration,in favor of,space exploration is the next frontier.,space exploration is the next frontier. in favor of We should subsidize space exploration,"['Self-direction: thought', 'Stimulation', 'Achievement']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,A12285,We should oppose collectivism,in favor of,collectivism is unfair to large populations and should be stopped,collectivism is unfair to large populations and should be stopped in favor of We should oppose collectivism,"['Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1507,A20271,We should limit judicial activism,against,sometimes a case has extenuating circumstances that would require a judge to make a different ruling.,sometimes a case has extenuating circumstances that would require a judge to make a different ruling. against We should limit judicial activism,"['Security: societal', 'Conformity: rules', 'Benevolence: caring', 'Universalism: concern', 'Universalism: tolerance', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
1586,A20379,We should ban algorithmic trading,against,"Algorithmic trading is more likely to be traceable, making illegal data inputs such as insider information more difficult to use.","Algorithmic trading is more likely to be traceable, making illegal data inputs such as insider information more difficult to use. against We should ban algorithmic trading","['Power: resources', 'Conformity: rules', 'Benevolence: caring', 'Benevolence: dependability', 'Universalism: concern']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0
3482,A27193,We should ban the use of child actors,in favor of,"child actors are put through too much at too young.  we should do away with them and just use cgi or something like that.  if a big company can call a cgi movie live action and get away with it, it will work.","child actors are put through too much at too young.  we should do away with them and just use cgi or something like that.  if a big company can call a cgi movie live action and get away with it, it will work. in favor of We should ban the use of child actors","['Achievement', 'Conformity: rules', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
6612,A28344,Blockade of the Gaza Strip should be ended,in favor of,"because of the gaza strip families living in poverty has continuously grown over the years, it should be ended so the country can progress","because of the gaza strip families living in poverty has continuously grown over the years, it should be ended so the country can progress in favor of Blockade of the Gaza Strip should be ended","['Power: resources', 'Security: personal', 'Security: societal', 'Universalism: concern']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
2937,A24443,We should ban the use of child actors,against,"with proper guidance and protection, children can be a valuable asset to the artistic process.","with proper guidance and protection, children can be a valuable asset to the artistic process. against We should ban the use of child actors","['Stimulation', 'Achievement', 'Universalism: nature']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
561,A12390,We should subsidize space exploration,against,"Space travel has health dangers. Astronauts and space tourists face risks from radiation, which can cause illness and injure organs.","Space travel has health dangers. Astronauts and space tourists face risks from radiation, which can cause illness and injure organs. against We should subsidize space exploration",['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3499,A27216,We should ban factory farming,in favor of,factory farming is not good for the environment,factory farming is not good for the environment in favor of We should ban factory farming,['Universalism: nature'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4985,E04106,We need a combined education and migration policy for Africa and the Middle East.,against,"The demographic problems for the EU, which are real, must be solved by encouraging child-bearing and a generous family policy, not through migration. We must celebrate motherhood and Moms. We must realize that raising a child involves serious costs in today's Europe.","The demographic problems for the EU, which are real, must be solved by encouraging child-bearing and a generous family policy, not through migration. We must celebrate motherhood and Moms. We must realize that raising a child involves serious costs in today's Europe. against We need a combined education and migration policy for Africa and the Middle East.","['Face', 'Security: personal', 'Benevolence: caring']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
4653,D02017,We should forbid neo-banks,against,"Since neo-banks are completely digital, they operate 24 hours a day and their services can be accessed at any time. They are easy to access from anywhere through a smartphone.","Since neo-banks are completely digital, they operate 24 hours a day and their services can be accessed at any time. They are easy to access from anywhere through a smartphone. against We should forbid neo-banks","['Self-direction: action', 'Achievement', 'Power: dominance', 'Security: personal', 'Benevolence: caring', 'Benevolence: dependability']",0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
6501,A27384,We should subsidize vocational education,against,subsidizing vocational education gives it unfair advantage over alternative career paths.,subsidizing vocational education gives it unfair advantage over alternative career paths. against We should subsidize vocational education,"['Achievement', 'Universalism: concern']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
334,A12049,We should limit executive compensation,against,"we should not limit executive compensation because it is their company that they started, they have a right to the profits.","we should not limit executive compensation because it is their company that they started, they have a right to the profits. against We should limit executive compensation","['Achievement', 'Power: dominance', 'Power: resources', 'Security: personal']",0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1078,A19108,We should abolish zoos,in favor of,"zoos are an unnatural stressful environment for animals. no animal should have to live in a cage or enclosure just for the entertainment of people, it is cruel and unnecessary.","zoos are an unnatural stressful environment for animals. no animal should have to live in a cage or enclosure just for the entertainment of people, it is cruel and unnecessary. in favor of We should abolish zoos","['Benevolence: dependability', 'Universalism: nature']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1919,A21394,We should abolish zoos,in favor of,zoos keep wild animals locked up in areas smaller than they are used to in the wild and it is not natural for them.,zoos keep wild animals locked up in areas smaller than they are used to in the wild and it is not natural for them. in favor of We should abolish zoos,['Universalism: nature'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
